SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Nether Currie Primary School,"23 Thomson Crescent, Currie",EH14 5JR,Primary,ND Primary,ND,,,N/A,South West,Pentland Hills,2,N/A,Pentlands,5540224,449 3140,449 2477,www.nethercurrie.edin.sch.uk,318620,668220
Newcraighall Primary School,"Whitehill Street, Newcraighall, Musselburgh",EH21 8QZ,Primary,ND Primary,ND,YES,,N/A,East,Portobello/Craigmillar,17,N/A,East,5527120,669 3598,657 4134,none,332130,671880
Niddrie Mill Primary School,"20 Moffat Way, Edinburgh",EH16 4PY,Primary,ND Primary,ND,,,N/A,East,Portobello/Craigmillar,17,Craigmillar,East,5527228,468 7025,468 7027,www.niddriemill.edin.sch.uk,329684,671875
Oxgangs Primary School,"60 Oxgangs Road North, Edinburgh",EH13 9DS,Primary,ND Primary,ND,YES,,N/A,South West,Colinton/Fairmilehead,8,Oxgangs,Pentlands,5527422,441 3649,441 9838,www.oxgangs.edin.sch.uk,322906,669533
Parsons Green Primary School,"60 Meadowfield Drive, Edinburgh",EH8 7LU,Primary,ND Primary,ND,YES,,N/A,East,Craigentinny/Duddingston,14,N/A,East,5527627,661 4459,661 6405,www.parsonsgreen.edin.sch.uk,328680,673370
Pentland Primary School,"Oxgangs Green, Edinburgh",EH13 9JE,Primary,ND Primary,ND,YES,,N/A,South West,Colinton/Fairmilehead,8,Oxgangs,Pentlands,5530920,445 1510,445 7710,www.pentland.edin.sch.uk,323848,668905
Pentland Primary School (Nursery Annexe),"1A Frogstone Road, Edinburgh",EH10 7AA,Primary,NDPS Annexe,ND,YES,YES,N/A,South West,Colinton/Fairmilehead,8,N/A,Pentlands,5530920,445 2880,,none,324840,668260
Pirniehall Primary School,"4 West Pilton Crescent, Edinburgh",EH4 4HP,Primary,ND Primary,ND,YES,,N/A,North,Forth,4,North Edinburgh,North and Leith,5527821,332 5256,538 7093,none,322030,676310
Preston Street Primary School,"169 Dalkeith Road, Edinburgh",EH16 5BR,Primary,ND Primary,ND,,,N/A,South,Southside/Newington,15,N/A,Central,5528127,667 4208,667 9217,none,326640,672490
Prestonfield Primary School,"Peffermill Road, Edinburgh",EH16 5LJ,Primary,ND Primary,ND,YES,,N/A,South,Southside/Newington,15,Prestonfield,South,5527929,667 1336,662 0813,www.prestonfield.edin.sch.uk,327710,671480
