ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
2802,Barnsley,Granton Crescent,At south entrance to park,Yes,EB,0.00,0.00,North,Forth,
2803,Barnsley,Granton Crescent,At bus stop,Yes,EB,0.00,0.00,North,Forth,
2804,Barnsley,Granton Crescent,At 68,Yes,EB,0.00,0.00,North,Forth,
2805,Routemaster,Granton Mains East,In play park,Yes,EB,0.00,0.00,North,Forth,
2806,Topsy,West Granton Road,Outside Sandys store,Yes,WB,0.00,0.00,North,Forth,
2807,Brunel,Granton Mains Avenue,Outside 5,Yes,EB,0.00,0.00,North,Forth,
2808,Brunel,Granton Mains Avenue,Outside 31,Yes,EB,0.00,0.00,North,Forth,
2809,Brunel,Granton Mains Gait,Outside 20,Yes,WB,0.00,0.00,North,Forth,
2810,Routemaster,Granton Mains Gait,in park,,,0.00,0.00,North,Forth,
2811,Routemaster,Granton Mains Gait,In park,Yes,EB,0.00,0.00,North,Forth,
2812,Routemaster,Granton Mains Gait,in park,,,0.00,0.00,North,Forth,
2813,Brunel,Gypsy Brae,Ar entrance to prom,Yes,NB,0.00,0.00,North,Forth,
2814,Derby Standard Green,Silverknowes foreshore,ON prom,,,0.00,0.00,North,Forth,10/05/2011
2815,Half Edinburgh,Silverknowes foreshore,On foreshore walk,Yes,WB,0.00,0.00,North,Forth,
2816,Half Edinburgh,Silverknowes foreshore,On foreshore walk,Yes,WB,0.00,0.00,North,Forth,
2817,Barnsley,Royston Mains Crescent,Opposite 50,Yes,WB,0.00,0.00,North,Forth,
