DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
solicitors,Angus Mclennan & Co. Solicitors,Class 1,Class 1,Class 2,Class 2,489A CALDER ROAD,EH11 4AW
baker,A. & J. Kelly,Class 1,Class 1,Class 1,Class 1,493 CALDER ROAD,EH11 4AW
grocer,Sighthill General Store,,,Class 1,Class 1,493A CALDER ROAD,EH11 4AW
vacant,vacant,,,Class 2,Vacant,495 CALDER ROAD,EH11 4AW
n/t/c,R.S. McColl,Class 1,Class 1,Class 1,Class 1,497 CALDER ROAD,EH11 4AW
"gifts, novelties",Best Bargain Store,Class 2,Class 2,Class 2,Class 1,499 CALDER ROAD,EH11 4AW
car hire,Enterprise Rent-a-car,Class 1,Class 1,SUI GENERIS,SUI GENERIS,501 CALDER ROAD,EH11 4AW
vacant,vacant,,,Vacant,Vacant,382 CALDER ROAD,EH11 4AS
grocer & n/t/c,News R Us,Class 1,Class 1,Class 1,Class 1,14-16 CALEDONIAN CRESCENT,EH11 2AJ
architects,CiAO (City Architects Office),Class 1,Class 4,,Class 4,4 CALEDONIAN PLACE,EH11 2AS
vacant,vacant,Class 1,Class 1,Class 4,Vacant,6 CALEDONIAN PLACE,EH11 2AS
public house,Pivo,,,SUI GENERIS,SUI GENERIS,2-6 CALTON ROAD,EH8 8DL
public house,Traverse Theatre CafÚ Bar,,,SUI GENERIS,SUI GENERIS,10(1F) CAMBRIDGE STREET,EH1 2ED
restaurant,Atrium Restaurant,,,Class 3,Class 3,(10A) CAMBRIDGE STREET,EH1 2ED
t.v. aerial installation,Aerial-rite,Class 1,Class 4,Class 4,Class 4,1 CAMBUSNETHAN STREET,EH7 5TZ
hairdresser,SuSu Barbers,Class 4,Vacant,Class 1,Class 1,4 CAMBUSNETHAN STREET,EH7 5UA
dwelling,dwelling,Vacant,Class 2,Vacant,Class 9,,
upholsterer,John White,UNKNOWN USE,Class 4,Class 4,Class 4,18 CAMBUSNETHAN STREET,EH7 5UA
children's clothing & gifts (for young infants),Puri,Class 2,Class 2,Vacant,Class 1,1 CANAAN LANE,EH10 4SZ
fortune telling,Tropical Rainbow,,,Class 1,Class 1,19 CANDLEMAKER ROW,EH1 2QG
cafÚ,Candles,Vacant,Class 4,Class 2,Class 3,21 CANDLEMAKER ROW,EH1 2QG
vacant,vacant,Class 1,Class 1,Class 4,Vacant,25 CANDLEMAKER ROW,EH1 2QG
comics,Deadhead Comics,Class 1,Class 1,Class 1,Class 1,27 CANDLEMAKER ROW,EH1 2QG
public house,Oz Bar,,,SUI GENERIS,SUI GENERIS,31-33 CANDLEMAKER ROW,EH1 2QG
antiques,Joys,Class 1,Class 1,Class 1,Class 1,39 CANDLEMAKER ROW,EH1 2QB
art gallery,Portfolio,Class 1,Class 1,Class 1,Class 1,,
vacant,vacant,,,Class 1,Vacant,26B CANDLEMAKER ROW,EH1 2QE
public house,Greyfriars Bobby,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,30-34 CANDLEMAKER ROW,EH1 2QE
knitwear,Joyce Forsyth,Class 1,Class 1,Class 1,Class 1,42 CANDLEMAKER ROW,EH1 2QE
restaurant (Japanese),Tang's,Class 1,Class 3,Class 3,Class 3,44 CANDLEMAKER ROW,EH1 2QE
clothing,Underground Nation,Class 1,Class 1,Class 1,Class 1,46 CANDLEMAKER ROW,EH1 2QE
tattoo studio,Venus Flytrap Tattoo,Class 1,Class 2,Class 2,Class 2,50 CANDLEMAKER ROW,EH1 2QE
antiques,Still Life,Class 1,Class 1,Class 1,Class 1,54 CANDLEMAKER ROW,EH1 2QE
books,Avizandum,Class 1,Vacant,Class 1,Class 1,56A CANDLEMAKER ROW,EH1 2QE
books,Avizandum,Class 1,Class 1,Class 1,Class 1,58 CANDLEMAKER ROW,EH1 2QE
picture framimg,Mcdonald Framing,Class 1,Class 1,Class 4,Class 1,62-64 CANDLEMAKER ROW,EH1 2QE
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,12 CANON STREET,EH3 5HE
gifts / souvenirs,Gifts of Scotland,Class 1,Class 1,Class 1,Class 1,,
professional sound & lighting sysytems,Pegasus Sound & Light,Vacant,Class 4,Class 4,Class 4,23-25 CANONGATE,EH8 8BX
vacant,vacant,Class 1,Vacant,Vacant,Vacant,29 CANONGATE,EH8 8BS
public house,Jenny Ha's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,67 CANONGATE,EH8 8BS
cafÚ & tea room,Clarinda's Tea Room,Class 3,Class 3,Class 3,Class 3,69 CANONGATE,EH8 8BS
gifts & souvenirs,The Genuine Article,Class 1,Class 1,Class 1,Class 1,97 CANONGATE,EH8 8BP
grocer,Canongate Stores,Class 1,Class 1,Class 1,Class 1,101 CANONGATE,EH8 8BP
gifts & souvenirs,I Love Edinburgh,Class 1,Class 1,Class 1,Class 1,125 CANONGATE,EH8 8BP
gifts & souvenirs,Neanie Scott,Class 1,Class 1,Class 1,Class 1,131 CANONGATE,EH8 8BP
gifts & souvenirs,Pride of Edinburgh,Class 1,Vacant,Class 1,Class 1,133-135 CANONGATE,EH8 8BP
Christmas decorations,Ye Olde Christmas Shoppe,Class 1,Class 1,Class 1,Class 1,143-145 CANONGATE,EH8 8BN
public house,Tolbooth Tavern,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,167 CANONGATE,EH8 8BN
"jewellery, gifts",Historic Connections,Class 1,Class 1,Class 1,Class 1,173 CANONGATE,EH8 8BN
second-hand books,The Old Children's Bookshelf,Class 1,Class 1,Class 1,Class 1,175 CANONGATE,EH8 8BN
"old maps, prints",Carson Clark Gallery,Class 1,Vacant,Class 1,Class 1,181-183 CANONGATE,EH8 8BN
soven,Prestige Scotland,Class 1,Class 1,Vacant,Class 1,187 CANONGATE,EH8 8BN
specialist whiskies,Cadenhead's Whisky Shop,Class 1,Class 1,Class 1,Class 1,172 CANONGATE,EH8 8DF
cafÚ,Sugar Cube,Class 1,Class 1,Class 1,Class 3,204 CANONGATE,EH8 8DQ
n/t/c,News Plus,Class 1,Class 1,Class 1,Class 1,208 CANONGATE,EH8 8DQ
public house,The Canon's Gait,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,232 CANONGATE,EH8 8DQ
restaurant,Pancho Villa's,Class 3,Class 3,Class 3,Class 3,240 CANONGATE,EH8 8AB
grocer,Royal Mile General Grocer & Off License,Class 1,Class 1,Class 1,Class 1,244 CANONGATE,EH8 8AB
"tattoo studio, body piercing",Tribal Body Jewellery,Class 1,Class 1,Class 2,Class 2,248 CANONGATE,EH8 8AA
souvenirs,I Love Scotland,Class 1,Class 1,Class 1,Class 1,250 CANONGATE,EH8 8AA
whisky and cigar specialist,Teasurer 1874,Class 1,Class 1,Class 1,Class 1,254 CANONGATE,EH8 8AA
public house,White Horse,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,266 CANONGATE,EH8 8AA
"clothing, footwear",focus,Class 1,Class 1,Class 1,Class 1,270 CANONGATE,EH8 8AA
fine art,Royal Mile Gallery,Class 1,Class 1,Class 1,Class 1,272 CANONGATE,EH8 8AA
cafÚ,Le CafÚ Royal,Class 1,Vacant,Class 1,Class 3,274 CANONGATE,EH8 8AA
mens clothing,Solo Menswear,Class 1,Class 1,Class 1,Class 1,276 CANONGATE,EH8 8AA
clothing,Ragamuffin,Class 1,Class 1,Class 1,Class 1,278 CANONGATE,EH8 8AA
public house,McLachlans,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 CANONMILLS,EH3 5HA
cafe,Russian Passion,Class 4,SUI GENERIS,SUI GENERIS,Class 3,5 CANONMILLS,EH3 5HA
petrol filling station & shop,Esso,SUI GENERIS,SUI GENERIS,Class 1,Class 1,23 CANONMILLS,EH3 5HA
vacant,vacant,Class 1,Class 1,Class 1,Vacant,30 CANONMILLS,EH3 5LH
residential letting agency,Alba Residential Property Management,,,Class 2,Class 2,21-23 CHURCH HILL PLACE,EH10 4BE
furniture & floor coverings,James Erskine,Class 1,Class 1,Class 1,Class 1,6-10 CHURCH HILL PLACE,EH10 4BD
back office for retail furniture business,James Erskine,Class 1,Class 1,Class 1,Class 1,14 CHURCH HILL PLACE,EH10 4BD
workshop for retail furniture business,James Erskine,Class 1,Class 1,Class 1,Class 1,16 CHURCH HILL PLACE,EH10 4BD
hairdresser (gents),Barbers 3-2-1,Class 1,Class 1,Class 1,Class 1,3 CLERK STREET,EH8 9JH
amusement centre,Slot Casino,Class 1,Class 11,Class 11,Class 11,21 CLERK STREET,EH8 9JH
vacant,vacant,,,Class 1,Vacant,25-29 CLERK STREET,EH8 9JH
hot food take-away,Marmaris Restaurant,Class 3,SUI GENERIS,SUI GENERIS,SUI GENERIS,33-35 CLERK STREET,EH8 9JH
hot food take-away,Marmaris Restaurant,,,SUI GENERIS,SUI GENERIS,,
"clothing alterations, sewing, tailoring",Stitch Master,Class 2,Class 4,Class 1,Class 1,37 CLERK STREET,EH8 9JQ
hairdresser (gents),Bailey's Barber,Class 1,Class 1,Class 1,Class 1,39 CLERK STREET,EH8 9JQ
grocer,Superstores,,,Class 1,Class 1,43 CLERK STREET,EH8 9JQ
Barnardo's,Barnardo's,Class 1,Class 1,Class 1,Class 1,45 CLERK STREET,EH8 9JQ
hairdresser,Dream Hairdressing,Class 1,Class 1,Class 1,Class 1,17 COMELY BANK ROAD,EH4 1DS
wine merchant & florist,Raeburn Fine Wines,,,Class 1,Class 1,21-23 COMELY BANK ROAD,EH4 1DS
hot food take-away (Turkish),Istanbul Kebabs,,,SUI GENERIS,SUI GENERIS,6-8 CLERK STREET,EH8 9HX
nail salon,USA Nails,Class 1,Class 1,Class 1,Class 1,10 CLERK STREET,EH8 9HX
fishmonger,Welch's Quality Fish,Class 1,Class 1,Class 1,Class 1,12 CLERK STREET,EH8 9HX
Chinese medicine and acupunture,Acuremedy,Class 1,Class 1,Class 2,Class 2,16 CLERK STREET,EH8 9HX
public house,Wm. McEwan's Ale House,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,18-24 CLERK STREET,EH8 9HX
n/t/c,Capital Newsagents,Class 1,Class 1,Class 1,Class 1,26 CLERK STREET,EH8 9HX
restaurant (Malaysia),Kampong Ah Lee,Class 3,SUI GENERIS,Class 3,Class 3,28 CLERK STREET,EH8 9HX
betting shop,William Hill,Class 2,Class 2,Class 2,Class 2,30-32 CLERK STREET,EH8 9HX
vacant,vacant,Class 1,Class 1,Class 1,Vacant,36 CLERK STREET,EH8 9HX
vacant,vacant,Class 1,Class 1,Class 1,Vacant,38 CLERK STREET,EH8 9HX
clothing accessories,Unico,Class 2,Class 2,Class 1,Class 1,40 CLERK STREET,EH8 9HX
vacant,vacant,Class 1,Class 1,Class 1,Vacant,42-44 CLERK STREET,EH8 9HX
ladies clothes,Khorwa,Class 1,Class 1,Class 2,Class 1,52 CLERK STREET,EH8 9JB
vacant,vacant,Class 1,Class 1,Vacant,Vacant,54 CLERK STREET,EH8 9JB
antique clocks & barometers,Craiglea Clocks,Vacant,Class 1,Class 1,Class 1,88 COMISTON ROAD,EH10 5QJ
grocer,Avenue Stores,Class 1,Class 1,Class 1,Class 1,90 COMISTON ROAD,EH10 5QJ
hairdresser,LA Hair Solutions,Class 1,Class 1,Class 1,Class 1,92 COMISTON ROAD,EH10 5QL
"bric-a-brac, furniture, curios",no name on fascia,Class 1,Vacant,Class 1,Class 1,94 COMISTON ROAD,EH10 5QL
chiropractor,Morningside Chiropractic,Class 1,Class 1,Class 2,Class 2,,
hairdresser,Studio 2,Vacant,Class 1,Class 1,Class 1,98 COMISTON ROAD,EH10 5QL
veterinary surgery,Animac Veterinary Group,Class 2,Class 2,Class 2,Class 2,,
building services engineers,Taylor Associates,Class 1,Class 4,Class 4,Class 4,130 COMISTON ROAD,EH10 5QN
fire damage services,Completecare (Scotland) Ltd.,Class 1,Class 1,Class 4,Class 4,134 COMISTON ROAD,EH10 5QN
computer learning centre,One 36 computing,Class 1,Class 2,Class 4,Class 4,136 COMISTON ROAD,EH10 5QN
fireplaces,Fireplace Design,Class 1,Class 1,Class 1,Class 1,1 CANONMILLS BRIDGE,EH3 5LF
hot food take-away,Bollywood Bites,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,2 CANONMILLS BRIDGE,EH3 5LF
delicatessen and restaurant (Greek),Dionika,Class 1,Class 1,Class 1,Class 1,3-6 CANONMILLS BRIDGE,EH3 5LF
beauty salon,Beautiful U,,,Class 1,Class 1,62 CAPTAIN'S ROAD,EH17 8HN
dwelling,dwelling,,,Class 1,Class 9,,
florist (kiosk),Juice Almightly,Class 3,Vacant,Class 1,Class 1,5 CASTLE STREET,EH2 3AH
building society,Northern Rock,Class 1,Class 2,Class 2,Class 2,9 CASTLE STREET,EH2 3AH
day spa,Serenity in the City,Class 1,Class 3,Vacant,Class 1,9A CASTLE STREET,EH2 3AH
coffee shop,Costa Coffee,Class 1,Class 2,Class 2,Class 3,13A CASTLE STREET,EH2 3AH
restaurant,Pizza Hut,Class 3,Class 3,Class 3,Class 3,15 CASTLE STREET,EH2 3AH
restaurant (Chinese),Orchid Lodge,Class 3,Class 3,Class 3,Class 3,15A CASTLE STREET,EH2 3AH
building society,Cheltenham & Gloucester,,,Class 2,Class 2,19 CASTLE STREET,EH2 3AH
wine merchant,Best One,Class 1,Class 1,Class 1,Class 1,21(GF10) CASTLE STREET,EH2 3DN
restaurant (Chinese),Golden Dragon,Class 3,Class 3,Class 3,Class 3,21(GF20) CASTLE STREET,EH2 3DN
"leather goods, shoe repairs, key cutting",H. Robertson,Class 1,Class 1,Class 1,Class 1,21A CASTLE STREET,EH2 3DN
"charity shop (hand-knitted clothing, craft goods)",The Treasure Trove (Royal Edinburgh Repository & Self Aid Society),Class 1,Class 1,Class 1,Class 1,23(GF) CASTLE STREET,EH2 3DN
cafÚ & take-away food,Pret a Manger,,,Class 3,Class 3,25 CASTLE STREET,EH2 3DN
"wall & floor tiles, interior dÚcor",Fired Earth,Class 1,Class 1,Class 1,Class 1,29 CASTLE STREET,EH2 3DN
vacant,vacant,Class 1,Class 1,Class 1,Vacant,31 CASTLE STREET,EH2 3DN
restaurant,Oloroso,,,Class 3,Class 3,33(3F1) CASTLE STREET,EH2 3DN
mens clothing,High & Mighty,Class 1,Class 1,Class 1,Class 1,4 CASTLE STREET,EH2 3AT
footwear,Duo,Class 1,Class 1,Class 1,Class 1,6(GF)-8 CASTLE STREET,EH2 3AT
adventure travel agents,Trailfinders,Class 1,Class 1,Class 1,Class 1,14 CASTLE STREET,EH2 3AT
restaurant,T.G.I. Fridays,Class 1,Vacant,Class 3,Class 3,26 CASTLE STREET,EH2 3HT
mens clothing,Thomas Pink,Class 1,Class 1,Class 1,Class 1,32A CASTLE STREET,EH2 3HT
florist,Flowers by Maxwell,Class 1,Class 1,Class 1,Class 1,32B CASTLE STREET,EH2 3HT
bank,Bank of Scotland / HBOS,,,Class 2,Class 2,1 CASTLE TERRACE,EH1 2DP
restaurant,Castle Terrace,,,Class 3,Class 3,33 CASTLE TERRACE,EH1 2EL
restaurant (Italian),Il Castello Ristorante & Pizzeria,,,Class 3,Class 3,36 CASTLE TERRACE,EH1 2EL
gifts,Castle Gift Shop,Class 1,Class 1,Class 1,Class 1,539 CASTLEHILL,EH1 2ND
cafÚ,Castle Tea Room,Class 3,Class 3,Class 3,Class 3,539A CASTLEHILL,EH1 2ND
cafÚ,CafÚ International,,,Class 3,Class 3,541 CASTLEHILL,EH1 2ND
restaurant,Sodexho,,,Class 3,Class 3,(364) CASTLEHILL,EH1 2NG
vacant,vacant,Vacant,Vacant,,Vacant,26 CATHCART PLACE,EH11 2HE
public house,Sheep's Heid,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,43 THE CAUSEWAY,EH15 3QA
n/t/c,J & N News,Class 1,Class 1,Class 1,Class 1,17 CAUSEWAYSIDE,EH9 1QF
restaurant,Hewat's,Class 1,Class 1,Class 3,Class 3,19 CAUSEWAYSIDE,EH9 1QF
public house,Victoria Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,25-27 CAUSEWAYSIDE,EH9 1QF
chiropodist,Feet First,Class 4,Class 2,Class 2,Class 2,,
wine merchant,Majestic Wines,,,Class 1,Class 1,39 CAUSEWAYSIDE,EH9 1QF
florist,Lorraine Graham Flowers,Class 1,Class 1,Class 1,Class 1,45 CAUSEWAYSIDE,EH9 1QF
restaurant,Celadon Thai Restaurant,,,Class 3,Class 3,49-51 CAUSEWAYSIDE,EH9 1QF
beauty salon,True Thai,Class 1,Class 1,,Class 1,55 CAUSEWAYSIDE,EH9 1QF
chairs,The Chair Woman,,,Class 1,Class 1,57 CAUSEWAYSIDE,EH9 1QF
solicitors (defence),D'Alvito,Class 1,Class 1,Class 1,Class 2,63 CAUSEWAYSIDE,EH9 1QF
antiques,Allan K.L Jackson,Vacant,Class 1,Class 1,Class 1,67 CAUSEWAYSIDE,EH9 1QF
vacant,vacant,Class 2,Class 1,Vacant,Vacant,,
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,,
vacant,vacant,Class 1,Class 1,Vacant,Vacant,89 CAUSEWAYSIDE,EH9 1QG
bagpipes,Kilberry Bagpipes,Class 4,Class 2,Vacant,Class 1,93 CAUSEWAYSIDE,EH9 1QG
restaurant,Sambuca,Class 1,Class 1,Class 3,Class 3,99 CAUSEWAYSIDE,EH9 1QG
restaurant,Sambuca,,,Class 3,Class 3,101-103 CAUSEWAYSIDE,EH9 1QG
antique & reproduction furniture,Vintage & Reclaimed,Class 1,Class 1,Class 1,Class 1,179-181 CAUSEWAYSIDE,EH9 1PH
hairdresser,Hair by Colours,,,Class 1,Class 1,,
antique furniture,Millers Antique Furniture,Class 1,Class 1,,Class 1,189 CAUSEWAYSIDE,EH9 1PH
roofing contractors,KM Contracts,Class 1,Class 4,Class 1,Class 4,191 CAUSEWAYSIDE,EH9 1PH
hot food take-away,The Pizza Factory,,,SUI GENERIS,SUI GENERIS,223 CAUSEWAYSIDE,EH9 1PH
public house,Old Bell Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,233 CAUSEWAYSIDE,EH9 1PH
restaurant,New Bell Restaurant,,,Class 3,Class 3,233/1 CAUSEWAYSIDE,EH9 1PH
vacant,vacant,Class 1,Class 4,Vacant,Vacant,56 CAUSEWAYSIDE,EH9 1PY
hotel,Borough Hotel,SUI GENERIS,Vacant,,Demolished,72-80 CAUSEWAYSIDE,EH9 1PY
vacant,vacant,Class 1,Class 1,Vacant,Vacant,84 CAUSEWAYSIDE,EH9 1PY
home cinema/ fire & security,The IQ Company,Class 1,Class 1,Class 1,Class 1,100 CAUSEWAYSIDE,EH9 1PU
antiques,Antiques & Stuff,Class 1,Vacant,Class 1,Class 1,102 CAUSEWAYSIDE,EH9 1PU
furniture renovation workshop,no name on fascia,Class 1,Class 1,Class 1,Class 1,106-108 CAUSEWAYSIDE,EH9 1PU
sporran maker,Wm. E Scott,Class 4,Vacant,Class 4,Class 4,110-112 CAUSEWAYSIDE,EH9 1PU
public house,Wayside,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,114 CAUSEWAYSIDE,EH9 1PU
lighting & furniture,Cotterell Light Centres,,,Class 1,Class 1,122 CAUSEWAYSIDE,EH9 1PU
public house,Bierex,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,130-132 CAUSEWAYSIDE,EH9 1PR
bathroom showroom,Broscolo Bathrooms,,,Vacant,Class 1,156 CAUSEWAYSIDE,EH9 1PR
supermarket,Tesco Express,,,Vacant,Class 1,158 CAUSEWAYSIDE,EH9 1PR
furnishing foam,The Foam Centre,,,Class 1,Class 1,176 CAUSEWAYSIDE,EH9 1PN
vacant,vacant,Vacant,Class 1,Class 1,Vacant,180 CAUSEWAYSIDE,EH9 1PN
hairdresser (gents),Baxters The Barber,Class 1,Class 1,Class 1,Class 1,182 CAUSEWAYSIDE,EH9 1PN
take-away food,Grange Take-Away,,,Class 1,Class 1,186 CAUSEWAYSIDE,EH9 1PN
physiotherapist,Lippstreu Physiotherapy,,,Class 1,Class 2,188 CAUSEWAYSIDE,EH9 1PN
restaurant (indian & Bangladeshi),Pataka,Class 1,Class 3,Class 3,Class 3,190 CAUSEWAYSIDE,EH9 1PN
n/a,n/a,,,Class 1,UNKNOWN USE,250 CAUSEWAYSIDE,EH9 1UU
n/a,n/a,,,Class 1,UNKNOWN USE,252 CAUSEWAYSIDE,EH9 1UU
cafÚ,Forsyth's Tea Room,SUI GENERIS,Class 3,Class 3,Class 3,"1 CHALMERS CLOSE, ( 81 HI",EH1 1SS
public house,The Jazz Bar,,,SUI GENERIS,SUI GENERIS,1A CHAMBERS STREET,EH1 1HR
hi-fi equipment,Richer Sounds,Class 1,Class 1,Class 1,Class 1,1B CHAMBERS STREET,EH1 1HR
restaurant & public house,Revolution,,,Class 3,Class 3,30A CHAMBERS STREET,EH1 1HU
vacant,vacant (formerly Bank of Scotland / HBOS),,,Class 2,Vacant,32 CHAMBERS STREET,EH1 1HU
restaurant,The Tower,,,Class 3,Class 3,(44A) CHAMBERS STREET,EH1 1JD
coffee shop,Coffee etc.,Class 4,Vacant,Class 3,Class 3,4 CHAPEL STREET,EH8 9AY
cafÚ & sandwich bar,Nile Valley CafÚ,Class 3,Class 3,Class 3,Class 3,6 CHAPEL STREET,EH8 9AY
cafÚ,Sarbosito,Class 1,Class 1,Class 1,Class 3,10 CHAPEL STREET,EH8 9AY
restaurant,Buffalo Grill,,,Class 3,Class 3,12-14 CHAPEL STREET,EH8 9AY
restaurant & public house,Indigo Yard,Class 3,Class 3,Class 3,Class 3,7 CHARLOTTE LANE,EH2 4QZ
public house,SYGN,,,Class 3,SUI GENERIS,15 CHARLOTTE LANE,EH2 4QZ
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,1 CHESSER AVENUE,EH14 1TB
plumbers,NAC Plumbing & Heating,Class 2,Class 2,Class 2,Class 4,3 CHURCH HILL PLACE,EH10 4BE
beauty salon,Holly Blue Nails & Beauty,Class 1,Class 1,Class 11,Class 1,5 CHURCH HILL PLACE,EH10 4BE
homeware,Jonathan Avery Design,,,Class 1,Class 1,7-9 CHURCH HILL PLACE,EH10 4BE
vacant,vacant,,,Class 1,Vacant,13-15 CHURCH HILL PLACE,EH10 4BE
funeral directors,Barclays,,,Vacant,Class 1,17 CHURCH HILL PLACE,EH10 4BE
curios,Apothecary,Class 1,Class 1,Vacant,Class 1,47 CLERK STREET,EH8 9JQ
greeting cards & gifts,The Paper Gallery,Class 4,Class 1,Class 1,Class 1,49 CLERK STREET,EH8 9JQ
restaurant (Indian),Tikka Mahal,Class 3,Class 3,Class 3,Class 3,53 CLERK STREET,EH8 9JQ
vacant,vacant,Class 1,Class 2,Class 2,Vacant,55 CLERK STREET,EH8 9JQ
hot food take-away (chinese),Giligula,Class 1,SUI GENERIS,Class 3,SUI GENERIS,57 CLERK STREET,EH8 9JQ
videotape hire,Vogue Video,Class 1,Class 1,Class 1,Class 1,59 CLERK STREET,EH8 9JQ
restaurant,Indian Mela,Class 3,Class 3,Class 3,Class 3,63 CLERK STREET,EH8 9JQ
hairdresser,Gordon Black,Class 1,Class 1,Class 1,Class 1,65 CLERK STREET,EH8 9JQ
cafÚ,Brawbles CafÚ,Class 1,Class 1,Class 3,Class 3,67 CLERK STREET,EH8 9JG
Record Shak,Record Shak,Class 1,Class 1,Class 1,Class 1,69 CLERK STREET,EH8 9JG
gifts,Gallery Workshop,Class 2,Class 2,Class 1,Class 1,73 CLERK STREET,EH8 9JG
delicatessen,Bonningtons Delicatessen,Class 1,Class 1,Class 1,Class 1,75 CLERK STREET,EH8 9JG
public house,The Grapes,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,77 CLERK STREET,EH8 9JG
Mobile Phone and Computer Repair Centre,Mobile Phone and Computer Repair Centre,Class 1,Class 1,Class 1,Class 1,83 CLERK STREET,EH8 9JG
hairdresser & beauty salon,Ruby Rouge,Class 1,Class 1,Class 1,Class 1,2 CLERK STREET,EH8 9HX
beauty salon + podiatry service,Murrayfield Beauty Therapy & Podiatry,Class 1,Class 1,Class 1,Class 1,8 COLTBRIDGE AVENUE,EH12 6AH
builders / joiners,James Swan,Class 4,Vacant,Class 1,Class 4,14 COLTBRIDGE AVENUE,EH12 6AH
artist / printmaker,Atelier 16,Class 1,Class 4,Class 4,Class 4,16 COLTBRIDGE AVENUE,EH12 6AH
bank,Bank of Scotland,,,Class 2,Class 2,43 COMELY BANK,EH4 1AF
supermarket - large,Waitrose,,Class 1,Class 1,Class 1,38 COMELY BANK,EH4 1AF
building services,Modus,Class 1,Class 1,Vacant,Class 4,35 COMELY BANK AVENUE,EH4 1ES
hairdresser,Presion,Class 1,Class 1,Class 1,Class 1,4 COMELY BANK AVENUE,EH4 1EL
n/t/c,G Alonzi Newsagent,Class 1,Class 1,Class 1,Class 1,6 COMELY BANK AVENUE,EH4 1EL
glaziers,CBG Glazing,Class 1,Class 1,Class 4,Class 4,8 COMELY BANK AVENUE,EH4 1EL
physiotherapy clinic,Taylor Physiotherapy,,,Class 2,Class 2,10-12 COMELY BANK AVENUE,EH4 1EL
financial services,Independent Financial Advisor,Class 1,Class 4,Class 2,Class 2,16 COMELY BANK AVENUE,EH4 1EL
hairdresser,Ruth Ball,Class 1,Class 1,Class 1,Class 1,18 COMELY BANK AVENUE,EH4 1EL
dwelling,dwelling,Class 1,Class 1,Vacant,Class 9,,
sauna,The Gentleman's Club,Class 11,Class 11,Class 11,Class 11,43-45 COMELY BANK PLACE,EH4 1ER
hairdresser,Murrayhead Organics,Class 1,Class 1,Class 1,Class 1,49 COMELY BANK PLACE,EH4 1ER
dwelling,dwelling,Class 1,Class 1,Class 1,Class 9,,
restaurant,Wine & Bistro Bar,Class 1,Class 3,Class 3,Class 3,,
"hot food take-away (fish & chips, pizzas, burgers)",Franco's,,,SUI GENERIS,SUI GENERIS,5-7 COMELY BANK ROAD,EH4 1DR
charity shop,St. Columba's Wardrobe,Class 1,Class 1,Class 1,Class 1,9 COMELY BANK ROAD,EH4 1DR
toys,Toys Galore,Class 1,Class 1,Vacant,Class 1,13 COMELY BANK ROAD,EH4 1DR
DVD hire,Blockbuster Video,Class 1,Class 1,Class 1,Class 1,15 COMELY BANK ROAD,EH4 1DS
hot food take-away,Maesto's (opening 2010),,,Class 1,SUI GENERIS,54A CLERK STREET,EH8 9JB
musical,Music @ Mevtaylors,,,Class 11,Class 1,58 CLERK STREET,EH8 9JB
print cartridges,Capital Cartridges,Class 2,Class 1,Class 1,Class 1,60 CLERK STREET,EH8 9JB
hair and beauty salon,Eva's,Vacant,Class 1,Class 1,Class 1,62 CLERK STREET,EH8 9JB
retro & second-hand clothing,W. Armstrong & Son,Class 1,Class 1,Class 1,Class 1,64-66 CLERK STREET,EH8 9JB
dwelling,dwelling,Class 1,Class 1,Class 1,Class 9,,
dwelling,dwelling,Class 1,Class 1,Class 1,Class 9,22 CLERMISTON GROVE,EH4 7DE
vacant,vacant,Class 1,Class 1,Vacant,Vacant,32 CLERMISTON GROVE,EH4 7DE
building contractors,Apex Building Services,Class 1,Class 1,Vacant,Class 4,5 CLERMISTON ROAD,EH12 6XG
hairdresser,Sher,Class 1,Class 1,Class 1,Class 1,7 CLERMISTON ROAD,EH12 6XG
car hire,Mitchell's Hire Drive,Class 1,SUI GENERIS,SUI GENERIS,SUI GENERIS,9 CLIFTON TERRACE,EH12 5DR
vacant,vacant,Class 1,Class 1,Class 1,Vacant,11 CLIFTON TERRACE,EH12 5DR
