DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
public house,Amani,Class 2,Vacant,SUI GENERIS,SUI GENERIS,28 BERNARD STREET,EH6 6QD
grocer (lic.),Bernard Street Grocers & Off Licence,Class 1,Class 2,Class 1,Class 1,38 BERNARD STREET,EH6 6PR
public house,The Carriers Quarters,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,42 BERNARD STREET,EH6 6PR
sandwich bar,Loaded,Class 1,Class 1,Class 1,Class 1,58 BERNARD STREET,EH6 6PR
bank,Royal Bank of Scotland,Class 2,Class 2,Class 2,Class 2,2 BIGGAR ROAD,EH10 7BQ
accountants,Taxassist Accountants,Class 1,Class 1,Class 1,Class 2,2A BIGGAR ROAD,EH10 7BQ
grocer / convenience store (lic),Costcutter,Class 1,Class 1,Class 1,Class 1,6(01) BIGGAR ROAD,EH10 7BQ
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,44 BIGGAR ROAD,EH10 7BJ
restaurant & public house,The Steading,SUI GENERIS,Class 3,Class 3,Class 3,118 BIGGAR ROAD,EH10 7DU
vacant,vacant,,Class 1,Class 1,Vacant,84 BINGHAM AVENUE,EH15 3HX
grocer (lic.),Key Store,,Class 1,Class 1,Class 1,86 BINGHAM AVENUE,EH15 3HX
petrol filling station and shop,BP / Costcutter,SUI GENERIS,SUI GENERIS,Class 1,Class 1,21(02)-23 BARCLAY PLACE,
vacant,vacant,Class 1,Class 1,Class 1,Vacant,39 BARCLAY PLACE,EH10 4HW
solicitors & estate agents,Thomas H.G. Stewart,Class 1,Class 2,Class 2,Class 2,41 BARCLAY PLACE,EH10 4HW
beauty salon,2 U Beauty,,,Class 4,Class 1,45-47 BARCLAY PLACE,EH10 4HW
electrical goods / electricians,William Watt,Class 1,Class 1,Class 1,Class 1,49 BARCLAY PLACE,EH10 4HW
hairdresser (gents),Sirs Barber,Class 1,Class 1,Class 1,Class 1,2 BARCLAY TERRACE,EH10 4HP
antiques,Barclay Antiques,Class 1,Class 1,Class 1,Class 1,3 BARCLAY TERRACE,EH10 4HP
architects,Matson Henderson Architects,Class 1,Class 1,Vacant,Class 4,5 BARCLAY TERRACE,EH10 4HP
musical instruments,Sanderson & Taylor,Class 1,Class 1,Class 1,Class 1,6 BARCLAY TERRACE,EH10 4HP
cafe,Black Medicine Coffee Co.,Class 1,Class 1,Class 1,Class 3,7 BARCLAY TERRACE,EH10 4HP
vacant,vacant,Class 1,Class 1,Class 1,Vacant,8 BARCLAY TERRACE,EH10 4HP
dog grooming,The Scruffy Dog Co.,Class 1,Class 1,Class 2,Class 1,10 BARCLAY TERRACE,EH10 4HP
child care services,Skool Is Out,Class 1,Class 1,Vacant,Class 10,11 BARCLAY TERRACE,EH10 4HP
restaurant,Katie's Diner,SUI GENERIS,SUI GENERIS,Class 3,Class 3,12 BARCLAY TERRACE,EH10 4HP
adult shop,Q Store,Vacant,Class 1,Class 1,Class 1,5 BARONY STREET,EH3 6PD
cafe/delicatessen,Broughton Deli & Cafe,Class 1,Class 1,Vacant,Class 3,7 BARONY STREET,EH3 6PD
public house,The Pond,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,2 BATH ROAD,EH6 7JT
dwelling,dwelling,Class 2,UNKNOWN USE,Vacant,Class 9,,
cafe,The Beach House,SUI GENERIS,Class 11,,Class 3,55/2 BATH STREET,EH15 1HE
confectionery,Hamiltons,Class 1,Class 1,Class 1,Class 1,4 BATH STREET,EH15 1EY
supermarket,Scotmid,Class 1,Class 1,Class 1,Class 1,6 BATH STREET,EH15 1EY
citizens advice,citizens advice,Class 1,Class 1,Vacant,Class 2,8A-8B BATH STREET,EH15 1EY
residential letting agency,Stephen McIntyre & Co Ltd.,Class 1,Vacant,Class 2,Class 2,8D BATH STREET,EH15 1EY
hairdresser,Halo,,,Class 1,Class 1,8E-10A BATH STREET,EH15 1EY
hairdresser,Flicks,Class 1,Class 1,Class 1,Class 1,10B BATH STREET,EH15 1EY
hot food take-away (Chinese),Dragon Way,Class 3,Class 3,SUI GENERIS,SUI GENERIS,10D-10E BATH STREET,EH15 1EY
vacant,vacant,Class 2,Vacant,Vacant,Vacant,46 BATH STREET,EH15 1HF
vacant,vacant,Class 1,Class 1,Vacant,Vacant,50 BATH STREET,EH15 1HF
public house,The Esplanade,Vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,62-66 BATH STREET,EH15 1HF
grocer / convenience store,Scotmid,,,Class 1,Class 1,49-53 BAVELAW ROAD,EH14 7AA
