Location,"Reference No",Position
"Clermiston Avenue",17404203,"At Clermiston Drive."
"Clermiston Crescent",17404212,"At Drum Brae Drive."
"Clermiston Crescent",17404209,"At Clermiston View."
"Clermiston Drive",17524633,"Outside No 19"
"Clermiston Gardens",17524627,"Opposite junction with Clermiston Medway"
"Clermiston Hill",17404218,"At Clermiston Crescent."
"Clermiston Hill",17404215,"At 53, at lighting column CKC10."
"Clermiston Road",10946216,"Opposite lighting column against wall at entrance to Clerwood."
"Clerwood Bank",10867268,"At lighting column CKM6."
"Clerwood Gardens",11100536,"in front of no 1"
"Clerwood Gardens",11100188,"behind no 2, at junction with Caroline Gardens and Clerwood Gardens"
"Clerwood Gardens",10866887,"At gable side of 18, near by lighting CKN07."
"Clerwood Loan",10867148,"Outside 21 at end of cul-de-sac."
"Clerwood Park",10866518,"At lighting column CKS23."
"Clerwood Park",10866410,"At lighting column CKS7."
"Clerwood Park",10866659,"At lighting column CKS34."
"Clerwood Park",17404221,"At lighting column CKS4."
"Clerwood Park",11099987,"At lighting column CKS42."
"Clerwood Park",11099858,"At lighting column CKS35."
"Clerwood Park",11099768,"At lighting column CKS18."
"Clerwood Park",11099663,"At telephone pole in lay-by, outside 17a."
"Clerwood Place",10866128,"At lighting column CKT1."
"Clerwood Row",10867010,"At lighting column CKU4."
"Clerwood Row",10866956,"At lighting column CKU1."
"Clerwood Terrace",10866053,"At lighting column CKV8."
"Clerwood Terrace",10865699,"On path uphill from lighting column CKV3."
"Clerwood Way",17404224,"Outside house 2."
"Cliftonhall Road",17406619,"On opposite side to lighting column 36 at top of incline."
"Clovenstone Drive",17524596,"Opposite No 19"
"Clovenstone Gardens",17407658,"At 17."
"Clovenstone Park",17407383,"In central parking area between 4-6."
"Clovenstone Park",17404236,"Opposite 58."
"Clovenstone Park",17404233,"Between 23E and 24A."
"Clovenstone Park",17404230,"Against wall at Clovenstone primary school opposite house 13."
